"Mod ID","Mod name","Mod version"
"sophisticatedbackpacks","Sophisticated Backpacks","1.20.1-3.23.4.5.110"
"sophisticatedcore","Sophisticated Core","1.20.1-1.2.7.15.166"
"sophisticatedstorage","Sophisticated Storage","1.20.1-1.3.5.11.142"
"sound_physics_remastered","Sound Physics Remastered","1.20.1-1.5.1"
"sparkweave","Sparkweave Engine","0.8.8"
"sparsestructures","SparseStructures","3.0"
"spectrelib","SpectreLib","0.13.15+1.20.1"
"spell_engine","Spell Engine","0.15.12+1.20.1"
"spell_power","Spell Power Attribute","0.12.0+1.20.1"
"spiceoffabric","Spice of Fabric","1.6.3-beta.1+mc1.20"
"spruceui","SpruceUI","6.2.1+1.20"
"spuds_shops","Spud's Shops","1.9.0"
"sspb","Sodium Shadowy Path Blocks","3.4.2"
"status-effect-bars","Status Effect Bars","1.0.3"
"step-height-entity-attribute","Step Height Entity Attribute","1.2.0"
"structory","Structory","1.3.5"
"structory_towers","Structory: Towers","1.0.7"
"structure_pool_api","Structure Pool API","1.0+1.20.1"
